Route,pc1_norm
IT-CH,0.483737145882913
FR-IT,0.47874013439894514
NL-CZ,0.4773072959034044
AT-LI,0.4765389149603663
FR-ES,0.4740935036566701
LU-FR,0.4715964916902878
BG-RO,0.4690214452506936
DK-NL,0.4683050211390984
CH-LU,0.4664837624365628
PL-HU,0.4653875443512624
CZ-NL,0.46374427923727746
NL-FR,0.4626804401871141
HU-PL,0.46038591653266
SE-NO,0.4599931996771534
LT-PL,0.45806612602651253
HU-DE,0.4575147060116362
SE-AX,0.457367765461284
CZ-HR,0.45575823858703557
NO-NO,0.4549482650019668
BE-GB,0.4492143073950596
SE-PT,0.448489004020789
HU-RO,0.44653531436782035
SK-DE,0.4461424875142998
NL-DK,0.4461398642964243
PL-LT,0.4424819006382581
GB-DE,0.4406642117309557
NL-PL,0.44054098207354037
RO-HU,0.439975867339926
FI-SE,0.4386660941062084
PL-LV,0.4381029793824405
NL-GB,0.4374996305181778
DE-FR,0.433399346079165
DE-SK,0.43178274405671935
CH-IT,0.43149092747006573
DE-DK,0.4302513504129757
AT-AT,0.4297746606596068
LT-EE,0.4296857119261477
SE-NL,0.4291409909699193
LV-FI,0.4289993296164302
NO-SE,0.4254891901130978
IT-AT,0.4247239409840027
FI-LV,0.4231856472724419
FR-LU,0.4196420051157515
GB-BE,0.41838852515426683
HR-DE,0.41837158013327025
LI-NL,0.4108967704708685
GB-NL,0.4069257569688712
HU-SI,0.40181194310818724
AT-DE,0.40046934314891286
IT-HR,0.39881914636599375
HR-IT,0.39768462092336165
DE-BE,0.3965321115667542
FR-DE,0.3934488141958962
BE-FR,0.3917724344444458
CZ-HU,0.3910233427927657
EE-LT,0.38827659291275957
DE-AT,0.38751258648515435
GB-FR,0.38252036112699417
TR-IT,0.3777807205011733
SE-DK,0.3771409731423606
ES-FR,0.3725062877512264
DK-SE,0.3714680461651029
IT-SI,0.3711207303321836
DE-PL,0.3686904810069665
SI-HU,0.368029738717002
DE-CH,0.36667864655402416
BE-DE,0.361604359581077
PL-DE,0.3495992630787116
LU-NL,0.3477704188932942
DE-CZ,0.3474159885893739
NL-LU,0.34731329712892783
CH-DE,0.34460917800982205
FR-NL,0.34378262743280397
AT-PL,0.3395387126565334
NL-DE,0.3359271567903938
LT-LV,0.33310409571332095
SK-PL,0.33243556233268484
PL-SK,0.3302512947563724
LU-DE,0.32785157313338115
SE-SE,0.3266442963500793
AX-FI,0.3262588270407313
CZ-DE,0.32445569530303797
CZ-SK,0.3201880522296986
LU-BE,0.3145811409853057
DE-NL,0.312804059214788
SK-CZ,0.3062463800500877
CZ-PL,0.30530605802278443
SK-HU,0.30438836757109067
AT-CZ,0.3036309954230995
FR-BE,0.30020449444466957
LV-LT,0.30018015978725354
PL-CZ,0.300161186070822
LV-EE,0.29442752853948134
SI-HR,0.2942478596417941
SI-IT,0.2939098005358609
DK-DE,0.29283852014881745
ES-RO,0.2921748863061158
HU-AT,0.28967385040038013
PL-AT,0.2896466718183018
LU-LU,0.2813584952479503
IT-MC,0.28131081776156197
BE-LU,0.28100361690213527
EE-LV,0.27616423271409907
AT-HU,0.2732073033433965
CZ-AT,0.2686666642848358
FR-FR,0.265558595753429
DE-LU,0.26518548521922924
AT-SK,0.24897264358303292
GB-GB,0.24660225990665072
BE-NL,0.24337312103540135
PL-PL,0.24256985081290386
HU-SK,0.2399921411942016
CH-CH,0.23868890757944058
DE-DE,0.23865312426331997
NL-BE,0.23292923207734414
BE-BE,0.22888027877729542
NL-NL,0.2285611251681916
IT-IT,0.22683744252749297
LV-LV,0.22080040956732852
FI-EE,0.21680783860908676
ES-NO,0.2166315788173411
ES-ES,0.19637191190193912
CZ-CZ,0.18861859505903297
DK-DK,0.17636875157119186
HU-HU,0.10322987057374383
